feature,mean_abs_shap
Contract,1.0661894
tenure,0.6493713
MonthlyCharges,0.49086145
TotalCharges,0.3983817
OnlineSecurity,0.32004783
PaymentMethod,0.21717516
TechSupport,0.21134983
InternetService,0.19106245
PaperlessBilling,0.14984612
MultipleLines,0.14708154
support_ticket_freq,0.12341456
OnlineBackup,0.10066607
StreamingMovies,0.09298759
gender,0.0758272
Dependents,0.067574725
DeviceProtection,0.061365217
SeniorCitizen,0.05888594
Partner,0.055484537
StreamingTV,0.05432167
PhoneService,0.044546656
tenure_volatility,0.0
contract_transition,0.0
